,line_name,alert_ids,full_text,start_time,end_time,reasons_set,mins_delay,reason_0,reason_1
160,CR-Fitchburg,465795, Fitchburg Line Train 432 (9:25 pm from Wachusett) is operating 5-15 minutes behind schedule between Ayer and North Station.,2022-10-05 22:04:40,2022-10-05 23:59:00,None,5-15,,
161,CR-Fitchburg,465797, Fitchburg Line Train 431 (8:55 pm from North Station) is stopped at Fitchburg and is 15-25 minutes behind schedule due to police activity. Fitchburg Line Train 431 (8:55 pm from North Station) is operating 20-30 minutes behind schedule between Fitchburg and Wachusett due to earlier police activity.,2022-10-05 22:42:34,2022-10-05 23:32:00,None,20-30,,
162,CR-Haverhill,465377," The new Fall/Winter Commuter Rail schedules go into effect on Monday, October 17th. Visit MBTA.com to see how we adapted our service for better seasonal performance.",2022-10-03 17:25:01,2022-10-17 02:30:00,None,,,
163,CR-Haverhill,465639, Haverhill Line Train 282 (7:33 am from Reading) is operating 5-15 minutes behind schedule between Wakefield and North Station.,2022-10-05 07:50:29,2022-10-05 09:08:00,None,5-15,,
164,CR-Haverhill,465660, Haverhill Line Train 206 (8:27 am from Haverhill) is operating 5-15 minutes behind schedule between Bradford and North Station. Haverhill Line Train 206 (8:27 am from Haverhill) is operating 5-15 minutes behind schedule between Bradford and North Station due to a mechanical issue. Haverhill Line Train 206 (8:27 am from Haverhill) is now operating 15-25 minutes behind schedule between Melrose/Cedar Park and North Station due to a mechanical issue.,2022-10-05 08:40:32,2022-10-05 10:38:00,{'mechanical issue'},15-25,mechanical issue,
165,CR-Haverhill,465667," Haverhill Line Train 206 (8:27 am from Haverhill) is operating without lighting or heat today due to a mechanical issue. For more comfortable conditions, passengers may consider Train 286 from Reading at 9:48 am.",2022-10-05 08:55:59,2022-10-05 10:38:00,{'mechanical issue'},,mechanical issue,
166,CR-Haverhill,465670, Haverhill Line Train 203 (8:10 am from North Station) is operating 5-15 minutes behind schedule between North Wilmington and Haverhill due to train traffic.,2022-10-05 09:06:33,2022-10-05 10:22:00,{'train traffic'},5-15,train traffic,
167,CR-Lowell,465377," The new Fall/Winter Commuter Rail schedules go into effect on Monday, October 17th. Visit MBTA.com to see how we adapted our service for better seasonal performance.",2022-10-03 17:25:01,2022-10-17 02:30:00,None,,,
168,CR-Needham,465238," From Monday, October 3rd through Friday, October 7th, Needham, Franklin/Foxboro, and Providence/Stoughton Line trains may experience delays up to 10-15 minutes due to ongoing work above the tracks and platform at Forest Hills.",2022-10-03 04:30:00,2022-10-08 02:30:00,None,10-15,,
169,CR-Needham,465377," The new Fall/Winter Commuter Rail schedules go into effect on Monday, October 17th. Visit MBTA.com to see how we adapted our service for better seasonal performance.",2022-10-03 17:25:01,2022-10-17 02:30:00,None,,,
170,CR-Fairmount,465377," The new Fall/Winter Commuter Rail schedules go into effect on Monday, October 17th. Visit MBTA.com to see how we adapted our service for better seasonal performance.",2022-10-03 17:25:01,2022-10-17 02:30:00,None,,,
171,CR-Fairmount,465820, Fairmount Line Train 907 (7:15 am from South Station) is operating 5-15 minutes behind schedule between South Station and Readville due to mechanical issues. Fairmount Line Train 907 (7:15 am from South Station) is operating 5-15 minutes behind schedule between South Station and Readville due to mechanical issues.,2022-10-06 07:34:48,2022-10-06 08:45:00,{'mechanical issue'},5-15,mechanical issue,
172,CR-Fairmount,465843, Fairmount Line Train 908 (8:00 am from Readville) is operating 5-15 minutes behind schedule between Fairmount and South Station due to the late arrival of equipment.,2022-10-06 08:16:12,2022-10-06 09:30:00,{'late arrival of equipment'},5-15,late arrival of equipment,
173,CR-Fairmount,465980, Fairmount Line Train 933 (5:00 pm from South Station) has not yet departed South Station due to a late swap of equipment and is currently 5-15 minutes behind schedule. Fairmount Line Train 933 (5:00 pm from South Station) has departed South Station and is operating near schedule.,2022-10-06 17:03:19,2022-10-06 18:30:00,None,5-15,,
174,CR-Franklin,465238," From Monday, October 3rd through Friday, October 7th, Needham, Franklin/Foxboro, and Providence/Stoughton Line trains may experience delays up to 10-15 minutes due to ongoing work above the tracks and platform at Forest Hills.",2022-10-03 04:30:00,2022-10-08 02:30:00,None,10-15,,
175,CR-Franklin,465377," The new Fall/Winter Commuter Rail schedules go into effect on Monday, October 17th. Visit MBTA.com to see how we adapted our service for better seasonal performance.",2022-10-03 17:25:01,2022-10-17 02:30:00,None,,,
176,CR-Franklin,465858, Franklin Line Train 706 (8:12 am from Forge Park/495) is stopped near Walpole and is 5-15 minutes behind schedule due to a mechanical issue. Franklin Line Train 706 (8:12 am from Forge Park/495) is now operating 10-20 minutes behind schedule between Walpole and South Station due to a mechanical issue. Franklin Line Train 706 (8:12 am from Forge Park/495) is stopped near Windsor Gardens and is now 20-30 minutes behind schedule due to a mechanical issue. Franklin Line Train 706 (8:12 am from Forge Park/495) is now operating 20-30 minutes behind schedule between Windsor Gardens and South Station due to a mechanical issue. Franklin Line Train 706 (8:12 am from Forge Park/495) is now operating 30-40 minutes behind schedule between Windsor Gardens and South Station due to a mechanical issue.,2022-10-06 08:46:33,2022-10-06 10:20:00,{'mechanical issue'},30-40,mechanical issue,
177,CR-Franklin,465861, Franklin Train 706 (8:12 am from Forge Park/495) is operating without heating or lighting today. For more comfortable conditions passengers may consider Foxboro Train 746 from Windsor Gardens at 9:07 am,2022-10-06 09:06:20,2022-10-06 10:20:00,None,,,
178,CR-Franklin,465865, Foxboro Line Train 747 (8:45 am from South Station) is operating 5-15 minutes behind schedule between Ruggles and Foxboro due to train traffic.,2022-10-06 09:09:21,2022-10-06 10:34:00,{'train traffic'},5-15,train traffic,
179,CR-Franklin,465871, Foxboro Line Train 746 (8:54 am from Foxboro) is operating 5-15 minutes behind schedule between Windsor Gardens and South Station due to train traffic. Foxboro Line Train 746 (8:54 am from Foxboro) is now operating 15-25 minutes behind schedule between Norwood Central and South Station due to accommodating passengers of Train 706. Foxboro Line Train 746 (8:54 am from Foxboro) is now operating 25-35 minutes behind schedule between Norwood Central and South Station due to accommodating passengers of Train 706.,2022-10-06 09:19:01,2022-10-06 10:46:00,{'train traffic'},25-35,train traffic,
180,CR-Franklin,465874, Franklin Line Train 706 (8:12 am from Forge Park/495) is terminated at Norwood Depot due to an ongoing mechanical issue. Passengers will be accommodated by Train 746 for further inbound service.,2022-10-06 09:33:20,2022-10-06 10:20:00,{'mechanical issue'},,mechanical issue,
181,CR-Franklin,465876, Foxboro Line Train 746 (8:54 am from Foxboro) will make an additional stop at Forest Hills to accommodate passengers from terminated Train 706.,2022-10-06 09:37:21,2022-10-06 10:46:00,None,,,
182,CR-Franklin,465878, Franklin Line Train 708 (9:12 am from Forge Park/495) is operating 5-15 minutes behind schedule between Norfolk and South Station due to train traffic.,2022-10-06 09:43:55,2022-10-06 11:16:00,{'train traffic'},5-15,train traffic,
183,CR-Franklin,465995, Franklin Line Train 721 (4:45 pm from South Station) is stopped at Norwood Depot and is 10-20 minutes behind schedule. Franklin Line Train 721 (4:45 pm from South Station) remains stopped at Norwood Depot and is 20-30 minutes behind schedule due to a mechanical issue. Franklin Line Train 721 (4:45 pm from South Station) remains stopped at Norwood Depot and is 30-40 minutes behind schedule due to a mechanical issue. Franklin Line Train 721 (4:45 pm from South Station) is operating 40-45 minutes behind schedule between Norwood Depot and Forge Park due to a mechanical issue and train traffic.,2022-10-06 17:35:09,2022-10-06 18:52:00,"{'train traffic', 'mechanical issue'}",40-45,train traffic,mechanical issue
184,CR-Franklin,466005, Foxboro Line Train 757 (5:20 pm from South Station) is operating 5-15 minutes behind schedule between Endicott and Foxboro due to train traffic.,2022-10-06 18:02:48,2022-10-06 19:18:00,{'train traffic'},5-15,train traffic,
185,CR-Franklin,466007, Franklin Line Train 724 (5:07 pm from Forge Park/495) is operating 10-15 minutes behind schedule between Readville and South Station.,2022-10-06 18:09:30,2022-10-06 19:13:00,None,10-15,,
186,CR-Franklin,466010, Franklin Line Train 723 (5:45 pm from South Station) is operating 5-15 minutes behind schedule between Hyde Park and Forge Park.,2022-10-06 18:11:37,2022-10-06 19:52:00,None,5-15,,
187,CR-Franklin,466025, Franklin Line Train 725 (6:45 pm from South Station) is operating 5-10 minutes behind schedule between Ruggles and Forge Park.,2022-10-06 19:07:01,2022-10-06 20:50:00,None,5-10,,
188,CR-Franklin,466030, Foxboro Line Train 760 (7:25 pm from Foxboro) is operating 5-15 minutes behind schedule between Foxboro and South Station due to train traffic.,2022-10-06 19:46:41,2022-10-06 21:17:00,{'train traffic'},5-15,train traffic,
189,CR-Greenbush,464776," On weekends, October 15th-16th and October 22nd-23rd, all Middleborough, Kingston & Greenbush trains will originate & terminate at Braintree to allow for track maintenance. Passengers will be accommodated by the Red Line between Braintree & South Station.",2022-09-29 12:00:09,2022-10-24 02:30:00,None,,,
190,CR-Greenbush,465377," The new Fall/Winter Commuter Rail schedules go into effect on Monday, October 17th. Visit MBTA.com to see how we adapted our service for better seasonal performance.",2022-10-03 17:25:01,2022-10-17 02:30:00,None,,,
191,CR-Greenbush,465839, Greenbush Line Train 073 (8:00 am from South Station) has not departed South Station and is 5-15 minutes behind schedule due to mechanical issues. Greenbush Line Train 073 (8:00 am from South Station) has departed South Station and is operating 5-15 minutes behind schedule due to mechanical issues.,2022-10-06 08:07:16,2022-10-06 10:04:00,{'mechanical issue'},5-15,mechanical issue,
192,CR-Greenbush,466004, Greenbush Line Train 089 (5:15 pm from South Station) is operating 5-15 minutes behind schedule between Weymouth Landing/East Braintree and Greenbush.,2022-10-06 17:57:34,2022-10-06 19:18:00,None,5-15,,
193,CR-Greenbush,466012, Greenbush Line Train 090 (5:42 pm from Greenbush) is operating 5-15 minutes behind schedule between Cohasset and South Station due to train traffic. Greenbush Line Train 090 (5:42 pm from Greenbush) is operating 5-15 minutes behind schedule between Cohasset and South Station due to train traffic.,2022-10-06 18:12:32,2022-10-06 19:49:00,{'train traffic'},5-15,train traffic,
194,CR-Kingston,464776," On weekends, October 15th-16th and October 22nd-23rd, all Middleborough, Kingston & Greenbush trains will originate & terminate at Braintree to allow for track maintenance. Passengers will be accommodated by the Red Line between Braintree & South Station.",2022-09-29 12:00:09,2022-10-24 02:30:00,None,,,
195,CR-Kingston,465377," The new Fall/Winter Commuter Rail schedules go into effect on Monday, October 17th. Visit MBTA.com to see how we adapted our service for better seasonal performance.",2022-10-03 17:25:01,2022-10-17 02:30:00,None,,,
196,CR-Fitchburg,465377," The new Fall/Winter Commuter Rail schedules go into effect on Monday, October 17th. Visit MBTA.com to see how we adapted our service for better seasonal performance.",2022-10-03 17:25:01,2022-10-17 02:30:00,None,,,
197,CR-Fitchburg,465831, Fitchburg Line Train 406 (7:25 am from Wachusett) is operating 5-15 minutes behind schedule between North Leominster and North Station. Fitchburg Line Train 406 (7:25 am from Wachusett) is now operating 15-25 minutes behind schedule between Waltham and North Station due to train traffic.,2022-10-06 07:54:56,2022-10-06 10:01:00,{'train traffic'},15-25,train traffic,
198,CR-Fitchburg,465866, Fitchburg Line Train 407 (8:30 am from North Station) is operating 5-15 minutes behind schedule between Kendal Green and Wachusett due to train traffic. Fitchburg Line Train 407 (8:30 am from North Station) is operating 5-15 minutes behind schedule between Kendal Green and Wachusett due to train traffic.,2022-10-06 09:11:33,2022-10-06 11:07:00,{'train traffic'},5-15,train traffic,
199,CR-Fitchburg,465867, Fitchburg Line Train 408 (8:25 am from Wachusett) is operating 5-10 minutes behind schedule between Littleton/Route 495 and North Station.,2022-10-06 09:11:58,2022-10-06 10:59:00,None,5-10,,
200,CR-Fitchburg,465881, Fitchburg Line Train 409 (9:30 am from North Station) is operating 5-15 minutes behind schedule between Waltham and Littleton/Route 495 due to train traffic.,2022-10-06 10:02:55,2022-10-06 11:25:00,{'train traffic'},5-15,train traffic,
201,CR-Fitchburg,465888, Fitchburg Line Train 410 (9:25 am from Wachusett) is operating 5-15 minutes behind schedule between Kendal Green and North Station.,2022-10-06 10:41:26,2022-10-06 11:59:00,None,5-15,,
202,CR-Fitchburg,465904, Fitchburg Line Train 415 (12:30 pm from North Station) is stopped near Porter and is 5-15 minutes behind schedule due to police activity. Fitchburg Line Train 415 (12:30 pm from North Station) is now operating 10-20 minutes behind schedule between North Station and Wachusett due to earlier police activity.,2022-10-06 12:49:10,2022-10-06 15:07:00,None,10-20,,
203,CR-Fitchburg,465905, Fitchburg Line Train 414 (12:01 pm from Littleton/Route 495) is stopped before Porter and is 5-15 minutes behind schedule due to police activity. Fitchburg Line Train 414 (12:01 pm from Littleton/Route 495) is operating 5-10 minutes behind schedule between Porter and North Station due to earlier police activity.,2022-10-06 12:53:01,2022-10-06 13:59:00,None,5-10,,
204,CR-Fitchburg,465925, Fitchburg Line Train 417 (1:30 pm from North Station) is operating 5-15 minutes behind schedule between Shirley and Wachusett.,2022-10-06 14:54:27,2022-10-06 16:07:00,None,5-15,,
205,CR-Fitchburg,465926, Fitchburg Line Train 420 (2:25 pm from Wachusett) is operating 5-15 minutes behind schedule between Ayer and North Station.,2022-10-06 15:02:17,2022-10-06 16:59:00,None,5-15,,
206,CR-Fitchburg,465950, Fitchburg Line Train 422 (3:25 pm from Wachusett) is operating 5-15 minutes behind schedule between Ayer and North Station.,2022-10-06 16:10:15,2022-10-06 17:59:00,None,5-15,,
207,CR-Fitchburg,465982, Fitchburg Line Train 423 (4:30 pm from North Station) is operating 5-15 minutes behind schedule between Kendal Green and Wachusett.,2022-10-06 17:11:34,2022-10-06 19:10:00,None,5-15,,
208,CR-Fitchburg,465992, Fitchburg Line Train 424 (4:25 pm from Wachusett) is operating 5-15 minutes behind schedule between Concord and North Station.,2022-10-06 17:31:28,2022-10-06 18:59:00,None,5-15,,
209,CR-Fitchburg,466014, Fitchburg Line Train 425 (5:30 pm from North Station) is operating 5-15 minutes behind schedule between Lincoln and Wachusett. Fitchburg Line Train 425 (5:30 pm from North Station) is operating 5-15 minutes behind schedule between Lincoln and Wachusett.,2022-10-06 18:17:00,2022-10-06 20:10:00,None,5-15,,
210,CR-Fitchburg,466018, Fitchburg Line Train 428 (6:25 pm from Wachusett) is operating 5-15 minutes behind schedule between Wachusett and North Station. Fitchburg Line Train 428 (6:25 pm from Wachusett) is operating 5-15 minutes behind schedule between Wachusett and North Station.,2022-10-06 18:38:59,2022-10-06 20:59:00,None,5-15,,
211,CR-Fitchburg,466034, Fitchburg Line Train 431 (8:55 pm from North Station) is operating 5-15 minutes behind schedule between Brandeis/Roberts and Wachusett.,2022-10-06 21:31:06,2022-10-06 23:32:00,None,5-15,,
212,CR-Haverhill,465377," The new Fall/Winter Commuter Rail schedules go into effect on Monday, October 17th. Visit MBTA.com to see how we adapted our service for better seasonal performance.",2022-10-03 17:25:01,2022-10-17 02:30:00,None,,,
213,CR-Haverhill,465810, Haverhill Line Train 201 (5:55 am from North Station) is operating 5-15 minutes behind schedule between Malden Center and Haverhill due to a signal issue.,2022-10-06 06:14:34,2022-10-06 08:07:00,{'signal issue'},5-15,signal issue,
214,CR-Haverhill,465814, Haverhill Line Train 281 (6:40 am from North Station) is operating 5-15 minutes behind schedule between Oak Grove and Reading due to a signal issue.,2022-10-06 07:03:36,2022-10-06 08:14:00,{'signal issue'},5-15,signal issue,
215,CR-Haverhill,465815, Haverhill Line Train 202 (6:12 am from Haverhill) is operating 5-15 minutes behind schedule between Wyoming Hill and North Station due to a signal issue.,2022-10-06 07:18:18,2022-10-06 08:24:00,{'signal issue'},5-15,signal issue,
216,CR-Haverhill,465822, Haverhill Line Train 283 (7:25 am from North Station) is operating 5-10 minutes behind schedule between North Station and Reading due to a signal issue.,2022-10-06 07:45:35,2022-10-06 08:59:00,{'signal issue'},5-10,signal issue,
217,CR-Haverhill,465850, Haverhill Line Train 203 (8:10 am from North Station) is operating 5-15 minutes behind schedule between North Station and Haverhill due to a signal issue.,2022-10-06 08:28:05,2022-10-06 10:22:00,{'signal issue'},5-15,signal issue,
218,CR-Haverhill,465870, Haverhill Line Train 285 (8:55 am from North Station) is operating 5-15 minutes behind schedule between North Station and Reading due to a signal issue.,2022-10-06 09:17:23,2022-10-06 10:29:00,{'signal issue'},5-15,signal issue,
219,CR-Haverhill,465880, Haverhill Line Train 205 (9:40 am from North Station) is operating 5-15 minutes behind schedule between Malden Center and Haverhill due to a signal issue.,2022-10-06 10:01:59,2022-10-06 11:52:00,{'signal issue'},5-15,signal issue,
220,CR-Haverhill,465882, Haverhill Line Train 208 (9:57 am from Haverhill) is operating 5-15 minutes behind schedule between Bradford and North Station.,2022-10-06 10:10:56,2022-10-06 12:07:00,None,5-15,,
221,CR-Haverhill,465889, Haverhill Line Train 287 (10:25 am from North Station) is operating 5-15 minutes behind schedule between North Station and Reading due to a signal issue.,2022-10-06 10:44:14,2022-10-06 11:59:00,{'signal issue'},5-15,signal issue,
222,CR-Haverhill,465899, Haverhill Line Train 289 (11:55 am from North Station) is operating 5-10 minutes behind schedule between Malden Center and Reading due to a signal issue.,2022-10-06 12:17:04,2022-10-06 13:29:00,{'signal issue'},5-10,signal issue,
223,CR-Haverhill,465901, Haverhill Line Train 210 (11:27 am from Haverhill) is operating 5-10 minutes behind schedule between Wyoming Hill and North Station due to a signal issue.,2022-10-06 12:27:50,2022-10-06 13:37:00,{'signal issue'},5-10,signal issue,
224,CR-Lowell,465377," The new Fall/Winter Commuter Rail schedules go into effect on Monday, October 17th. Visit MBTA.com to see how we adapted our service for better seasonal performance.",2022-10-03 17:25:01,2022-10-17 02:30:00,None,,,
225,CR-Lowell,466015, Lowell Line Train 330 (5:50 pm from Lowell) is stopped before Wedgemere and is 15-25 minutes behind schedule due to a signal issue. Lowell Line Train 330 (5:50 pm from Lowell) is operating 15-20 minutes behind schedule between Anderson/Woburn and North Station due to a signal issue. Lowell Line Train 330 (5:50 pm from Lowell) is operating 15-20 minutes behind schedule between Anderson/Woburn and North Station due to a signal issue.,2022-10-06 18:29:47,2022-10-06 19:33:00,{'signal issue'},15-20,signal issue,
226,CR-Needham,465238," From Monday, October 3rd through Friday, October 7th, Needham, Franklin/Foxboro, and Providence/Stoughton Line trains may experience delays up to 10-15 minutes due to ongoing work above the tracks and platform at Forest Hills.",2022-10-03 04:30:00,2022-10-08 02:30:00,None,10-15,,
227,CR-Needham,465377," The new Fall/Winter Commuter Rail schedules go into effect on Monday, October 17th. Visit MBTA.com to see how we adapted our service for better seasonal performance.",2022-10-03 17:25:01,2022-10-17 02:30:00,None,,,
228,CR-Fairmount,465377," The new Fall/Winter Commuter Rail schedules go into effect on Monday, October 17th. Visit MBTA.com to see how we adapted our service for better seasonal performance.",2022-10-03 17:25:01,2022-10-17 02:30:00,None,,,
229,CR-Franklin,465238," From Monday, October 3rd through Friday, October 7th, Needham, Franklin/Foxboro, and Providence/Stoughton Line trains may experience delays up to 10-15 minutes due to ongoing work above the tracks and platform at Forest Hills.",2022-10-03 04:30:00,2022-10-08 02:30:00,None,10-15,,
230,CR-Franklin,465377," The new Fall/Winter Commuter Rail schedules go into effect on Monday, October 17th. Visit MBTA.com to see how we adapted our service for better seasonal performance.",2022-10-03 17:25:01,2022-10-17 02:30:00,None,,,
231,CR-Franklin,466079, Franklin Line Train 708 (9:12 am from Forge Park/495) is expected to depart Forge Park/495 5-15 minutes behind schedule due to a mechanical issue. Franklin Line Train 708 (9:12 am from Forge Park/495) has departed Forge Park/495 and is operating 5-15 minutes behind schedule due to a mechanical issue. Franklin Line Train 708 (9:12 am from Forge Park/495) is stopped before Walpole and is 15-25 minutes behind schedule due to a mechanical issue. Franklin Line Train 708 (9:12 am from Forge Park/495) is now operating 20-30 minutes behind schedule between Norfolk and South Station due to a mechanical issue.,2022-10-07 09:12:00,2022-10-07 11:16:00,{'mechanical issue'},20-30,mechanical issue,
232,CR-Franklin,466081, Foxboro Line Train 747 (8:45 am from South Station) is operating 5-15 minutes behind schedule between Islington and Foxboro due to train traffic.,2022-10-07 09:23:07,2022-10-07 10:34:00,{'train traffic'},5-15,train traffic,
233,CR-Franklin,466086, Foxboro Line Train 746 (8:54 am from Foxboro) is operating 5-10 minutes behind schedule between Readville and South Station due to train traffic.,2022-10-07 09:46:45,2022-10-07 10:46:00,{'train traffic'},5-10,train traffic,
234,CR-Franklin,466091, Franklin Line Train 708 (9:12 am from Forge Park/495) is terminated at Norwood Central due to a mechanical issue. Passengers will be accommodated by Foxboro Train 748 for continued inbound service.,2022-10-07 10:31:03,2022-10-07 11:16:00,{'mechanical issue'},,mechanical issue,
235,CR-Franklin,466092, Franklin Line Train 707 (9:45 am from South Station) is operating 5-15 minutes behind schedule between Norwood Depot and Forge Park/495 due to train traffic. Franklin Line Train 707 (9:45 am from South Station) is stopped before Norwood Central and is 15-25 minutes behind schedule due to train traffic. Franklin Line Train 707 (9:45 am from South Station) remains stopped before Norwood Central and is 25-35 minutes behind schedule due to train traffic. Franklin Line Train 707 (9:45 am from South Station) is now operating 25-35 minutes behind schedule between Norwood Central and Forge Park/495 due to train traffic.,2022-10-07 10:31:59,2022-10-07 11:47:00,{'train traffic'},25-35,train traffic,
236,CR-Franklin,466096, Franklin Line Train 712 (11:12 am from Forge Park/495) is expected to depart Forge Park/495 5-15 minutes behind schedule due to the late arrival of Train 707. Franklin Line Train 712 (11:12 am from Forge Park/495) has departed Forge Park/495 and is operating 5-10 minutes behind schedule due to the late arrival of Train 707.,2022-10-07 11:12:00,2022-10-07 13:16:00,{'late arrival of train'},5-10,late arrival of train,
237,CR-Franklin,466100, Foxboro Line Train 748 (10:23 am from Foxboro) is operating 5-15 minutes behind schedule between Readville and South Station due to train traffic.,2022-10-07 11:05:26,2022-10-07 12:18:00,{'train traffic'},5-15,train traffic,
238,CR-Franklin,466129, Franklin Line Train 715 (1:45 pm from South Station) is operating 5-10 minutes behind schedule between Norwood Central and Forge Park/495.,2022-10-07 14:29:22,2022-10-07 15:47:00,None,5-10,,
239,CR-Franklin,466199, Franklin Line Train 721 (4:45 pm from South Station) is operating 5-10 minutes behind schedule between Readville and Forge Park.,2022-10-07 17:17:37,2022-10-07 18:52:00,None,5-10,,
240,CR-Franklin,466223, Franklin Line Train 723 (5:45 pm from South Station) is operating 5-15 minutes behind schedule between Windsor Gardens and Forge Park. Franklin Line Train 723 (5:45 pm from South Station) is operating 5-15 minutes behind schedule between Windsor Gardens and Forge Park.,2022-10-07 18:36:18,2022-10-07 19:52:00,None,5-15,,
241,CR-Greenbush,464776," On weekends, October 15th-16th and October 22nd-23rd, all Middleborough, Kingston & Greenbush trains will originate & terminate at Braintree to allow for track maintenance. Passengers will be accommodated by the Red Line between Braintree & South Station.",2022-09-29 12:00:09,2022-10-24 02:30:00,None,,,
242,CR-Greenbush,465377," The new Fall/Winter Commuter Rail schedules go into effect on Monday, October 17th. Visit MBTA.com to see how we adapted our service for better seasonal performance.",2022-10-03 17:25:01,2022-10-17 02:30:00,None,,,
243,CR-Greenbush,466061, Greenbush Line Train 073 (8:00 am from South Station) is operating 5-15 minutes behind schedule between JFK/UMass and Greenbush due to train traffic.,2022-10-07 08:21:39,2022-10-07 10:04:00,{'train traffic'},5-15,train traffic,
244,CR-Greenbush,466227, Greenbush Line Train 091 (6:25 pm from South Station) is operating 5-15 minutes behind schedule between Weymouth Landing/East Braintree and Greenbush.,2022-10-07 19:05:02,2022-10-07 20:28:00,None,5-15,,
245,CR-Greenbush,466265, Greenbush Line Train 095 (10:45 pm from South Station) is expected to depart South Station 15-25 minutes behind schedule due to the late arrival of equipment. Greenbush Line Train 095 (10:45 pm from South Station) is expected to depart South Station 20-30 minutes behind schedule due to the late arrival of equipment.,2022-10-07 22:52:04,2022-10-08 00:47:00,{'late arrival of equipment'},20-30,late arrival of equipment,
246,CR-Kingston,464776," On weekends, October 15th-16th and October 22nd-23rd, all Middleborough, Kingston & Greenbush trains will originate & terminate at Braintree to allow for track maintenance. Passengers will be accommodated by the Red Line between Braintree & South Station.",2022-09-29 12:00:09,2022-10-24 02:30:00,None,,,
247,CR-Kingston,465377," The new Fall/Winter Commuter Rail schedules go into effect on Monday, October 17th. Visit MBTA.com to see how we adapted our service for better seasonal performance.",2022-10-03 17:25:01,2022-10-17 02:30:00,None,,,
248,CR-Kingston,466115, Kingston Line Train 051 (1:18 pm from South Station) is expected to depart South Station 5-15 minutes behind schedule. Kingston Line Train 051 (1:18 pm from South Station) remains at South Station due to a late swap of equipment and is currently 15-25 minutes behind schedule. Kingston Line Train 051 (1:18 pm from South Station) has departed South Station and is operating 15-20 minutes behind schedule due to a late swap of equipment. Kingston Line Train 051 (1:18 pm from South Station) is operating 25-30 minutes behind schedule between South Weymouth and Kingston due to a late swap of equipment.,2022-10-07 13:18:00,2022-10-07 15:17:00,None,25-30,,
249,CR-Kingston,466151, Kingston Line Train 053 (2:33 pm from South Station) is operating 5-10 minutes behind schedule between South Weymouth and Kingston.,2022-10-07 15:13:05,2022-10-07 16:33:00,None,5-10,,
250,CR-Kingston,466157, Kingston Line Train 056 (2:52 pm from Kingston) is operating 10-15 minutes behind schedule between Braintree and South Station due to train traffic. Kingston Line Train 056 (2:52 pm from Kingston) is operating 10-15 minutes behind schedule between Braintree and South Station due to train traffic.,2022-10-07 15:46:04,2022-10-07 16:57:00,{'train traffic'},10-15,train traffic,
251,CR-Kingston,466170, Kingston Line Train 055 (3:33 pm from South Station) is operating 5-15 minutes behind schedule between JFK/UMass and Kingston due to train traffic. Kingston Line Train 055 (3:33 pm from South Station) is stopped at Hanson and is 25-35 minutes behind schedule due to a signal issue. Kingston Line Train 055 (3:33 pm from South Station) remains stopped at Hanson and is 35-45 minutes behind schedule due to fire department activity. Kingston Line Train 055 (3:33 pm from South Station) remains stopped at Hanson and is 45-55 minutes behind schedule due to fire department activity. Kingston Line Train 055 (3:33 pm from South Station) remains stopped at Hanson and is approximately 1 hour behind schedule due to fire department activity.,2022-10-07 15:56:46,2022-10-07 17:33:00,"{'signal issue', 'train traffic'}",45-55,signal issue,train traffic
252,CR-Kingston,466185, Kingston Line Train 058 (4:07 pm from Kingston) is stopped after Halifax and is 15-25 minutes behind schedule due to train traffic. Kingston Line Train 058 (4:07 pm from Kingston) remains stopped after Halifax and is 25-35 minutes behind schedule due to train traffic. Kingston Line Train 058 (4:07 pm from Kingston) remains stopped after Halifax and is 35-45 minutes behind schedule due to fire department activity. Kingston Line Train 058 (4:07 pm from Kingston) remains stopped after Halifax and is 50-60 minutes behind schedule due to fire department activity. Kingston Line Train 058 (4:07 pm from Kingston) remains stopped after Halifax and is approximately 1 hour 20 minutes behind schedule due to fire department activity. Kingston Line Train 058 (4:07 pm from Kingston) is stopped at Hanson and is approximately 1 hour 30 minutes behind schedule due to fire department activity. Kingston Line Train 058 (4:07 pm from Kingston) is stopped at Hanson and is approximately 1 hour 30 minutes behind schedule due to fire department activity. Kingston Line Train 058 (4:07 pm from Kingston) remains stopped at Hanson and is approximately 2 hours 10 minutes behind schedule due to fire department activity. Kingston Line Train 058 (4:07 pm from Kingston) is now operating approximately 2 hours 25 minutes behind schedule between Hanson and South Station due to earlier fire department activity. This train will make flag stops. Please be visible on the platform.,2022-10-07 16:39:51,2022-10-07 19:18:00,{'train traffic'},25,train traffic,
253,CR-Kingston,466196," Kingston Line trains are experiencing severe delays in both directions due to fire department activity in the Hanson area. Individual alerts will be sent as needed. The fire department activity in the Hanson area on the Kingston Line has been cleared. Trains are still holding nearby, but are expected to be back on the move soon once all trains in the affected single track area are clear. The fire department activity in the Hanson area on the Kingston Line has been cleared. Trains are now able to operate through the area and normal service is resuming with residual delays.",2022-10-07 17:11:00,2022-10-08 00:28:37,None,,,
